"","brand","model","year","price","currency","type","fuel","condition","info"
"42","Suzuki","Swift Sport",2022,"24,900","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"43","Kia","Soluto",2021,"16,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"44","Kia","Soluto LX",2021,"17,400","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"45","Mercedes-Benz","Clase S 500",2021,"235,000","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"46","Mercedes-Benz","Clase A 35 AMG",2021,"72,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"47","Mercedes-Benz","Clase S 580 AMG Matic",2021,"229,000","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"48","Toyota","Corolla LE",2021,"27,000","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - 3,920 Mi"
"49","Nissan","Versa",2021,"19,500","US","sedan"," Gasolina "," Usado ","2021 - Gasolina - Usado - N/D Km"
"50","BMW","i3",2021,"91,900","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Km"
"51","Kia","Rio",2021,"20,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"52","Tesla","Model Y Long Range",2021,"89,990","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - 45 Km"
"53","Tesla","Model Y",2021,"70,990","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"54","Mercedes-Benz","Clase S 500L",2021,"198,200","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"55","Mercedes-Benz","Clase S 500 AMG",2021,"249,200","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"56","Mercedes-Benz","Clase A 35 AMG",2021,"78,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"57","Mercedes-Benz","Clase S 500 AMG",2021,"245,000","US","sedan"," Gasolina "," Usado ","2021 - Gasolina - Usado - N/D Mi"
"58","Mercedes-Benz","Clase A 35 AMG",2021,"78,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"59","Audi","A7 Sportback",2021,"110,500","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"60","Audi","A4 Quattro",2021,"54,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"61","Audi","A7 S-Line",2021,"113,000","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"62","Audi","A4",2021,"54,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"63","Audi","A6 S-Line",2021,"95,000","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"64","Audi","A4",2021,"54,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"65","Audi","A4 Turbo S-Line",2021,"54,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"66","Audi","A5 Sportsback",2021,"57,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"67","Mercedes-Benz","Clase S 580 AMG Matic",2021,"285,000","US","sedan"," Gasolina "," Usado ","2021 - Gasolina - Usado - N/D Mi"
"68","Tesla","Model S Plaid",2021,"189,000","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"69","Tesla","Model 3 Standard Range Plus",2021,"61,990","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"70","Tesla","Model S",2021,"165,000","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"71","Kia","Rio LX",2021,"20,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"72","Kia","Soluto",2021,"16,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"73","Kia","Soluto",2021,"16,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"74","Mercedes-Benz","Clase S 580 AMG Matic",2021,"229,500","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"75","Tesla","Model Y Long Range",2021,"84,000","US","sedan"," Electrico "," Usado ","2021 - Eléctrico - Usado - N/D Mi"
"76","Honda","City",2021,"25,950","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"77","Mercedes-Benz","Clase S 500",2021,"265,000","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"78","Porsche","Taycan",2021,"175,000","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"79","Mercedes-Benz","Clase S 500 AMG",2021,"265,000","US","sedan"," Híbrido "," Nuevo ","2021 - Híbrido - Nuevo - N/D Mi"
"80","Kia","Rio",2021,"20,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"81","Tesla","Model 3 Standard Range Plus",2021,"62,900","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"82","Tesla","Model Y",2021,"74,900","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"83","Tesla","Model 3 Standard Range Plus",2021,"62,900","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"84","Tesla","Model Y",2021,"74,900","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"85","Tesla","Model 3",2021,"62,900","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"86","Tesla","Model S",2021,"162,200","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Km"
"87","Tesla","Model Y Long Range",2021,"88,000","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Km"
"88","Porsche","Taycan",2021,"172,900","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"89","Kia","Soluto",2021,"17,490","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"90","Kia","Rio",2021,"20,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"91","Kia","Rio",2021,"21,490","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"92","Tesla","Model 3 Standard Range Plus",2021,"77,250","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"93","Mercedes-Benz","Clase S 500",2021,"265,000","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"94","Kia","Rio",2021,"20,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"95","Tesla","Model 3 Standard Range Plus",2021,"77,250","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Km"
"96","Kia","Soluto",2021,"17,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"97","Kia","Rio",2021,"20,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"98","Kia","Rio",2021,"20,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"99","Tesla","Model Y",2021,"88,000","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"100","Mercedes-Benz","Clase S 500L",2021,"205,000","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"101","Nissan","Versa Advance",2021,"22,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"102","Kia","Rio",2021,"20,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"103","Tesla","Model Y Long Range",2021,"91,059","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Km"
