Currency,Price,Year,Brand_Model,Fuel,Condition,Type,Fecha
US,"21,990",2023,Kia Rio, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"21,950",2023,Kia Rio, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"21,990",2023,Kia Rio, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"21,990",2023,Kia Rio, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"21,990",2023,Kia Rio LX, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"21,990",2023,Kia Rio, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"21,990",2023,Kia Rio, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"21,990",2023,Kia Rio, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"21,990",2023,Kia Rio, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"21,990",2023,Kia Rio, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"18,490",2023,Kia Soluto, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"21,990",2023,Kia Rio, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"124,900",2022,Mercedes-Benz Clase A 45 S AMG, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"17,990",2022,Kia Soluto, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"71,500",2022,Tesla Model 3, Eléctrico , Nuevo ,carros/sedan,2022-04-22
US,"71,500",2022,Tesla Model 3 Standard Range Plus, Eléctrico , Nuevo ,carros/sedan,2022-04-22
US,"71,500",2022,Tesla Model 3 Standard Range Plus, Eléctrico , Nuevo ,carros/sedan,2022-04-22
US,"21,990",2022,YEMA  MENGO, Eléctrico , Nuevo ,carros/sedan,2022-04-22
US,"39,900",2022,Audi A3, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"95,000",2022,Audi A6 S-Line, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"110,500",2022,Audi A7 Sportback, Gasolina , Nuevo ,carros/sedan,2022-04-22
US,"85,900",2022,BYD HAN, Eléctrico , Nuevo ,carros/sedan,2022-04-22
