Currency,Price,Year,Brand_Model,Info,Type
US,"15,990",2022,Kia Picanto L X,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"17,300",2022,Toyota Agya ,2022 - Gasolina - Nuevo - N/D Km,carros/hatchback
US,"15,990",2022,Kia Picanto L X,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"15,900",2022,Kia Picanto L X,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"16,490",2022,Kia Picanto L X,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"16,490",2022,Kia Picanto L X,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"25,499",2022,Citroen C3,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"25,900",2022,Citroen C3,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"29,990",2022,Citroen C3 Aircross,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"29,900",2022,Citroen C3 Aircross,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"16,490",2022,Kia Picanto,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"17,300",2022,Toyota Agya ,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"17,900",2022,Suzuki Swift,2022 - Gasolina - Usado - N/D Km,carros/hatchback
US,"15,990",2022,Kia Picanto,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"7,450",2022,Bajaj Qute,2022 - Gasolina - Nuevo - N/D Km,carros/hatchback
US,"15,990",2022,Kia Picanto L X,2022 - Gasolina - Nuevo - N/D Km,carros/hatchback
US,"16,490",2022,Kia Picanto L X,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"15,990",2022,Kia Picanto,2022 - Gasolina - Nuevo - N/D Km,carros/hatchback
US,"15,900",2022,Kia Picanto L X,2022 - Gasolina - Nuevo - N/D Mi,carros/hatchback
US,"15,990",2022,Kia Picanto,2022 - Gasolina - Nuevo - N/D Km,carros/hatchback
