Currency,Price,Year,Brand_Model,Info,Type
US,"60,000",2023,Mitsubishi Montero Sport,2023 - Diesel - Nuevo - N/D Km,carros/jeepeta
US,"74,900",2022,Toyota Land Cruiser Prado TXL,2022 - Diesel - Nuevo - N/D Mi,carros/jeepeta
US,"27,300",2022,Toyota Rush,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"41,995",2022,Hyundai Santa Fe,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"92,300",2022,Toyota Land Cruiser Prado VXL,2022 - Diesel - Nuevo - N/D Mi,carros/jeepeta
US,"67,500",2022,Toyota 4 Runner Limited,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"92,300",2022,Toyota Land Cruiser Prado VXL,2022 - Diesel - Nuevo - N/D Mi,carros/jeepeta
US,"27,300",2022,Toyota Rush,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"67,500",2022,Toyota 4 Runner Limited,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"32,490",2022,Mazda CX-30 GS,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"42,990",2022,Kia Sorento LX,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"40,990",2022,Hyundai Tucson,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"40,990",2022,Hyundai Tucson,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"124,900",2022,BMW Serie X 5 XDRIVE 45E,2022 - Híbrido - Nuevo - N/D Mi,carros/jeepeta
US,"23,990",2022,Kia Sonet,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"42,990",2022,Kia Sorento MQ4 Sport,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"26,990",2022,Kia Seltos EX,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"23,990",2022,Kia Sonet,2022 - Gasolina - Nuevo - N/D Km,carros/jeepeta
US,"62,000",2022,Toyota Fortuner SRV,2022 - Diesel - Nuevo - N/D Mi,carros/jeepeta
US,"74,900",2022,Toyota Land Cruiser Prado,2022 - Diesel - Nuevo - N/D Km,carros/jeepeta
US,"57,000",2022,Toyota RAV4 Hibrid,2022 - Gasolina - Nuevo - N/D Km,carros/jeepeta
US,"67,500",2022,Toyota 4 Runner Limited,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"39,300",2022,Toyota Corolla Cross Full Híbrido,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"36,300",2022,Toyota Corolla Cross,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"39,300",2022,Toyota Corolla Cross Full Híbrido,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"84,900",2022,Lexus RX 350,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"44,900",2022,Toyota RAV4 Hibrid,2022 - Híbrido - Nuevo - N/D Mi,carros/jeepeta
US,"44,995",2022,Hyundai Santa Fe,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"34,995",2022,Hyundai Tucson,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"170,000",2022,Lexus LX 570 Sport,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"40,995",2022,Hyundai Tucson,2022 - Gasolina - Nuevo - N/D Km,carros/jeepeta
US,"84,900",2022,Lexus RX 350,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"33,990",2022,Mazda CX-30 GT,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"56,500",2022,Lexus UX 200,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"88,900",2022,BMW Serie X 5 X DRIVE 25D,2022 - Diesel - Nuevo - N/D Km,carros/jeepeta
US,"46,490",2022,Kia Sorento,2022 - Gasolina - Nuevo - N/D Km,carros/jeepeta
US,"62,000",2022,Toyota Fortuner SRV,2022 - Diesel - Nuevo - N/D Mi,carros/jeepeta
US,"40,995",2022,Hyundai Tucson ECO 1.6 TURBO,2022 - Gasolina - Nuevo - N/D Km,carros/jeepeta
US,"40,995",2022,Hyundai Tucson ECO 1.6 TURBO,2022 - Gasolina - Nuevo - N/D Km,carros/jeepeta
US,"38,995",2022,Hyundai Tucson,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"42,900",2022,Toyota Corolla Cross Limited Híbrido,2022 - Híbrido - Nuevo - N/D Mi,carros/jeepeta
US,"92,300",2022,Toyota Land Cruiser Prado VXL,2022 - Diesel - Nuevo - N/D Mi,carros/jeepeta
US,"92,300",2022,Toyota Land Cruiser VXL,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"37,995",2022,Hyundai Tucson,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"27,300",2022,Toyota Rush,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"56,900",2022,Toyota RAV4 Hibrid,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"67,500",2022,Toyota 4 Runner Limited,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"67,500",2022,Toyota 4 Runner Limited,2022 - Gasolina - Nuevo - N/D Km,carros/jeepeta
US,"63,900",2022,Toyota Land Cruiser Prado,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"115,000",2022,Lexus GX 460,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"48,995",2022,Hyundai Tucson LIMITED,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"24,900",2022,Changan CS 35 Plus,2022 - Gasolina - Nuevo - N/D Km,carros/jeepeta
US,"39,400",2022,Mazda CX-5,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"44,900",2022,Honda CR-V EX,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"35,950",2022,Changan CS 75 Semi Full ,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"42,950",2022,Changan CS 85 Coupe,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"33,900",2022,Mazda CX-30 GS,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"48,995",2022,Hyundai Santa Fe,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"24,900",2022,Changan CS 35 Plus,2022 - Gasolina - Nuevo - N/D Km,carros/jeepeta
US,"42,900",2022,Toyota Corolla Cross Full,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"26,900",2022,Changan CS 55,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
US,"88,900",2022,BMW Serie X 5 X DRIVE 25D,2022 - Diesel - Nuevo - N/D Km,carros/jeepeta
US,"20,500",2022,Changan CS15 Luxury,2022 - Gasolina - Nuevo - N/D Km,carros/jeepeta
US,"40,950",2022,Changan CS 75 Plus Full,2022 - Gasolina - Nuevo - N/D Mi,carros/jeepeta
