Currency,Price,Year,Brand_Model,Info,Type
US,"59,900",2022,Mini Cooper S Countryman ALL4,2022 - Gasolina - Nuevo - N/D Mi,carros/coupe-deportivo
US,"59,900",2022,Mini Cooper Countryman S,2022 - Gasolina - Nuevo - N/D Mi,carros/coupe-deportivo
US,"260,000",2022,Porsche 911 Carrera S,2022 - Gasolina - Nuevo - N/D Km,carros/coupe-deportivo
US,"59,900",2022,Mini Cooper Countryman S,2022 - Gasolina - Nuevo - N/D Mi,carros/coupe-deportivo
US,"59,900",2022,Mini Cooper Countryman S,2022 - Gasolina - Nuevo - N/D Mi,carros/coupe-deportivo
US,"59,995",2022,Mini Cooper Countryman S,2022 - Gasolina - Nuevo - N/D Km,carros/coupe-deportivo
US,"279,000",2021,Porsche 911 Turbo,2021 - Gasolina - Nuevo - N/D Mi,carros/coupe-deportivo
US,"475,000",2021,Ferrari F8 Spider,2021 - Gasolina - Nuevo - N/D Km,carros/coupe-deportivo
US,"49,900",2021,Mini Cooper S Convertible,"2021 - Gasolina - Usado - 2,000 Km",carros/coupe-deportivo
US,"47,500",2021,Mini Cooper John Cooper Works,2021 - Gasolina - Usado - N/D Mi,carros/coupe-deportivo
US,"49,900",2021,Mini Cooper Countryman,2021 - Gasolina - Nuevo - N/D Km,carros/coupe-deportivo
US,"61,900",2021,Mini Cooper Convertible,2021 - Gasolina - Nuevo - N/D Km,carros/coupe-deportivo
US,"93,500",2021,Ford Mustang Mach-e ,2021 - Eléctrico - Usado - N/D Mi,carros/coupe-deportivo
US,"475,000",2021,Ferrari F8 Spider,2021 - Gasolina - Nuevo - N/D Mi,carros/coupe-deportivo
US,"415,000",2021,Ferrari Roma,2021 - Gasolina - Nuevo - N/D Mi,carros/coupe-deportivo
US,"56,000",2021,Dodge Challenger,2021 - Gasolina - Nuevo - N/D Mi,carros/coupe-deportivo
US,"165,000",2021,Chevrolet Corvette Stingray Z51,2021 - Gasolina - Nuevo - N/D Mi,carros/coupe-deportivo
US,"162,000",2021,Chevrolet Corvette Stingray Z51,2021 - Gasolina - Usado - N/D Mi,carros/coupe-deportivo
US,"278,000",2021,Porsche 911 Turbo,2021 - Gasolina - Usado - 738 Km,carros/coupe-deportivo
US,"265,000",2021,Porsche 911 Turbo,"2021 - Gasolina - Usado - 2,000 Km",carros/coupe-deportivo
US,"325,000",2021,Porsche 911 Turbo S,2021 - Gasolina - Nuevo - N/D Mi,carros/coupe-deportivo
US,"213,900",2021,Porsche 911 Carrera 4 S,2021 - Gasolina - Nuevo - N/D Mi,carros/coupe-deportivo
