Currency,Price,Year,Brand_Model,Info,Type
US,"44,900",2023,Mitsubishi Canter Cama 14 Pies,2023 - Diesel - Nuevo - N/D Mi,v.pesados
US,"42,900",2023,Mitsubishi Canter Chassis 14 pies,2023 - Diesel - Nuevo - N/D Mi,v.pesados
US,"20,900",2022,Kia K-2700,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"46,900",2022,Jac HFC 1120KN,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"30,990",2022,Jac HFC 1070KN,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"41,000",2022,Mitsubishi Canter Cama 12 Pies ,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"41,500",2022,Isuzu NPR 14 pies,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"48,200",2022,Isuzu NQR 18 Pies,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"47,500",2022,Isuzu NQR 16 Pies,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"49,900",2022,Isuzu Volteo,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"26,500",2022,Isuzu QKR 10 PIES,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"78,900",2022,Isuzu FTR 21 Pies,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"18,990",2022,Jac X 200,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"46,500",2022,Mitsubishi Canter Chassis 18 pies,2022 - Diesel - Nuevo - N/D Km,v.pesados
US,"59,900",2022,Mitsubishi Canter Cama 14 Pies,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"55,500",2022,Mitsubishi Canter Chassis 14 pies,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"29,000",2022,Mitsubishi Canter Chassis 10 pies,2022 - Diesel - Nuevo - N/D Km,v.pesados
US,"40,000",2022,Mitsubishi Canter Chassis 14 pies,2022 - Diesel - Nuevo - N/D Mi,v.pesados
US,"45,500",2022,Mitsubishi Canter Chassis 16 Pies,2022 - Diesel - Nuevo - N/D Mi,v.pesados
