Currency,Price,Year,Brand_Model,Info,Type
US,"6,500",2021,KTM 250 Adventure,2021 - Gasolina - Nuevo - N/D Mi,motores
US,"61,000",2021,Can-Am Maverick X3 XRS Turbo RR,2021 - Gasolina - Nuevo - N/D Mi,motores
US,"63,000",2021,Can-Am Maverick X3 XRS Turbo RR,2021 - Gasolina - Nuevo - N/D Mi,motores
US,"59,000",2021,Can-Am Maverick X3 XRC Turbo RR,2021 - Gasolina - Nuevo - N/D Mi,motores
US,"61,000",2021,Polaris RZR 1000 Turbo,2021 - Gasolina - Nuevo - N/D Mi,motores
US,"55,000",2021,Can-Am Maverick X3 XRS Turbo RR,2021 - Gasolina - Nuevo - N/D Mi,motores
US,"15,800",2021,YAMAHA Raptor 700,2021 - Gasolina - Nuevo - N/D Mi,motores
US,"16,500",2021,YAMAHA Raptor 700,2021 - Gasolina - Nuevo - N/D Mi,motores
RD,"92,000",2021,Honda Activa,2021 - Gasolina - Nuevo - N/D Mi,motores
US,"33,900",2021,Can-Am Commander Max 1000 XT,2021 - Gasolina - Nuevo - N/D Mi,motores
US,"23,500",2020,BMW F-800 GS,2020 - Gasolina - Usado - N/D Mi,motores
US,"2,100",2020,Monster Motocicleta Electrica,2020 - Eléctrico - Nuevo - N/D Km,motores
US,"1,600",2020,Bean Pasola Electrica,2020 - Gasolina - Nuevo - N/D Km,motores
US,"2,200",2020,ZXMCO M6,2020 - Eléctrico - Usado - N/D Mi,motores
US,"1,600",2020,Bean Pasola Electrica,2020 - Gasolina - Nuevo - N/D Km,motores
US,"5,400",2020,Husqvarna SVARTPILEN  250,2020 - Gasolina - Nuevo - N/D Km,motores
US,"7,300",2020,Husqvarna Vitpilen 401,2020 - Gasolina - Nuevo - N/D Km,motores
US,"7,800",2020,Husqvarna SVARTPILEN  400,2020 - Gasolina - Nuevo - 6 Km,motores
US,"3,500",2020,Vespa 150 Super,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"3,500",2020,Vespa 150 Super,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"5,800",2020,Vespa 150 Super,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"9,500",2020,KTM Adventure 390,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"7,300",2020,KTM DUKE 390,2020 - Gasolina - Nuevo - N/D Km,motores
US,"6,500",2020,KTM 250 Adventure,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"7,300",2020,Husqvarna Vitpilen 401,2020 - Gasolina - Nuevo - N/D Km,motores
US,"4,990",2020,KTM 250,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"38,000",2020,Can-Am Maverick X3 XRS Turbo RR,2020 - Gasolina - Usado - 600 Mi,motores
US,"3,295",2020,Vespa SXL,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"3,295",2020,Vespa SXL,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"7,300",2020,Husqvarna Vitpilen 401,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"7,800",2020,Husqvarna SVARTPILEN  400,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"38,500",2020,Can-Am Maverick X3 XRC Turbo RR,2020 - Gasolina - Usado - 363 Mi,motores
US,"6,590",2020,Husqvarna Vitpilen 401,"2020 - Gasolina - Usado - 1,250 Mi",motores
RD,"775,000",2020,Suzuki DRZ 400 SM,2020 - Gasolina - Usado - N/D Mi,motores
US,"4,000",2020,Husqvarna SVARTPILEN  250,"2020 - Gasolina - Usado - 8,000 Km",motores
US,"45,500",2020,Can-Am Maverick X3 XRS Turbo,2020 - Gasolina - Usado - N/D Mi,motores
US,"16,900",2020,YAMAHA Raptor 700,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"7,500",2020,Buggi 400CC,2020 - Gasolina - Usado - 300 Km,motores
US,"4,790",2020,Zontes T-310,"2020 - Gasolina - Usado - 8,500 Km",motores
US,"5,700",2020,Honda Super Cub 125,2020 - Gasolina - Nuevo - 184 Mi,motores
US,"38,900",2020,Can-Am Maverick X3 XRC Turbo RR,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"36,500",2020,Honda Talon 10004L,2020 - Gasolina - Nuevo - N/D Km,motores
US,"15,800",2020,YAMAHA Raptor 700,2020 - Gasolina - Usado - N/D Mi,motores
US,"9,950",2020,KTM 250 2t Six Days,2020 - Gasolina - Usado - N/D Mi,motores
US,"5,400",2020,Husqvarna SVARTPILEN  250,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"7,300",2020,Husqvarna Vitpilen 401,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"4,900",2020,Zontes T310-2 ADV,"2020 - Gasolina - Usado - 7,900 Km",motores
US,"2,400",2020,Yasan Motors,2020 - Eléctrico - Nuevo - N/D Mi,motores
US,"2,200",2020,ZXMCO Knight Electrica,2020 - Eléctrico - Nuevo - N/D Mi,motores
RD,"68,000",2020,BR Sport 110cc,2020 - Gasolina - Usado - N/D Mi,motores
US,"12,495",2020,Piaggio MP3 300 HPE Sport,2020 - Gasolina - Nuevo - N/D Km,motores
US,"5,300",2020,Piaggio Liberty 150 Sport,2020 - Gasolina - Nuevo - N/D Km,motores
US,"5,495",2020,Vespa Primavera 150,2020 - Gasolina - Nuevo - N/D Km,motores
US,"10,200",2020,Vespa 6 Giorni 300 HPE,2020 - Gasolina - Nuevo - N/D Km,motores
US,"7,700",2020,Vespa Sprint 150 S,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"2,600",2020,Aprillia ESR MT 50,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"19,700",2020,Aprillia Dorsoduro 900 E4,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"9,900",2020,Aprillia Shiver 900 Navi,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"24,100",2020,Motoguzzi V85 TT Evocative,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"17,500",2020,Can-Am Ryker 900,2020 - Gasolina - Nuevo - N/D Mi,motores
US,"1,575",2019,Honda Navi,2019 - Gasolina - Usado - 989 Km,motores
US,"9,900",2019,Husqvarna SVARTPILEN  701,2019 - Gasolina - Usado - N/D Mi,motores
US,"28,500",2019,Polaris RZR Turbo S,2019 - Gasolina - Usado - N/D Mi,motores
US,"35,000",2019,Can-Am Maverick X3,2019 - Gasolina - Usado - N/D Mi,motores
US,"1,550",2019,Trailer ATB,2019 - Híbrido - Usado - N/D Mi,motores
US,"6,700",2019,Honda Super Cub 125,2019 - Gasolina - Usado - N/D Km,motores
US,"18,900",2019,Polaris RZR 1000,2019 - Gasolina - Usado - N/D Mi,motores
US,"48,000",2019,Can-Am Maverick X3 Max XRS Turbo RR,2019 - Gasolina - Usado - N/D Mi,motores
US,"18,900",2019,Polaris RZR 1000,2019 - Gasolina - Usado - N/D Mi,motores
RD,"300,000",2019,YAMAHA Majesty,"2019 - Gasolina - Usado - 10,000 Km",motores
RD,"65,000",2019,Haojiang HJ125-33 T. CHOPPER,2019 - Gasolina - Usado - N/D Mi,motores
US,"1,800",2019,Honda Navi,2019 - Gasolina - Usado - N/D Mi,motores
RD,"62,500",2019,Haojiang HJ125-26 DELUXE,2019 - Gasolina - Nuevo - N/D Mi,motores
US,"4,500",2018,Vespa Primavera 150,2018 - Gasolina - Usado - N/D Km,motores
US,"11,500",2018,YAMAHA YFZ 450 R,2018 - Gasolina - Usado - N/D Mi,motores
US,"21,500",2018,Polaris RZR 1000 Turbo,2018 - Gasolina - Usado - N/D Mi,motores
US,"19,900",2018,Polaris RZR,2018 - Gasolina - Usado - N/D Mi,motores
US,"13,000",2018,Polaris RZR,2018 - Gasolina - Usado - N/D Mi,motores
US,"53,000",2018,Can-Am Maverick X3 RS Turbo R,"2018 - Gasolina - Usado - 1,400 Mi",motores
US,"19,500",2018,Honda Africa Twin,"2018 - Gasolina - Usado - 3,000 Km",motores
US,"19,000",2018,Artic Cat Wildcat X 1000,"2018 - Gasolina - Usado - 5,027 Mi",motores
US,"42,500",2018,Can-Am Maverick,2018 - Gasolina - Usado - N/D Mi,motores
US,"14,000",2018,Polaris RZR 1000 Turbo,2018 - Gasolina - Usado - N/D Mi,motores
US,"15,500",2017,Honda Pioneer SXS 500,2017 - Gasolina - Usado - N/D Km,motores
US,"29,590",2017,Can-Am XRS,"2017 - Gasolina - Usado - 5,000 Mi",motores
US,"34,000",2017,Can-Am Maverick X3 XRS Turbo RR,2017 - Gasolina - Usado - N/D Mi,motores
US,"9,500",2017,YAMAHA MTO7,"2017 - Gasolina - Usado - 11,200 Km",motores
US,"5,200",2016,KTM 300 EXC SIX DAYS,2016 - Gasolina - Usado - N/D Mi,motores
US,"10,500",2016,YAMAHA FZ 07,2016 - Gasolina - Usado - N/D Mi,motores
US,"22,500",2016,BMW S1000XR,"2016 - Gasolina - Usado - 6,000 Km",motores
US,"26,500",2016,Polaris Slingshot SL,2016 - Gasolina - Usado - N/D Mi,motores
US,"17,500",2016,Ducati Hypermotard,2016 - Gasolina - Usado - N/D Mi,motores
US,"15,500",2016,Can-Am Maverick Turbo,"2016 - Gasolina - Usado - 16,000 Km",motores
US,"14,500",2016,Piaggio MP3 300 HPE Sport,2016 - Gasolina - Usado - N/D Mi,motores
US,"16,500",2015,Polaris RZR 1000,2015 - Gasolina - Usado - N/D Mi,motores
US,"29,500",2015,Harley Davidson Custom,"2015 - Gasolina - Usado - 14,400 Km",motores
US,"19,599",2015,Ducati Diavel 1198cc,"2015 - Gasolina - Usado - 6,168 Km",motores
US,"5,800",2015,KTM 300 EXC SIX DAYS,2015 - Gasolina - Usado - N/D Mi,motores
US,"8,700",2014,Can-Am Commander,2014 - Gasolina - Usado - N/D Mi,motores
