Currency,Price,Year,Brand_Model,Info,Type
US,"20,990",2022,Kia Rio LX,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"20,900",2022,Kia Rio,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"17,500",2022,Kia Soluto LX,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"24,900",2022,Toyota Yaris,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"22,500",2022,YEMA  MENGO,2022 - Eléctrico - Nuevo - N/D Mi,carros/sedan
US,"24,500",2022,Nissan Versa Exclusive,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"85,900",2022,BYD HAN,2022 - Eléctrico - Nuevo - N/D Mi,carros/sedan
US,"17,900",2022,Hyundai Verna,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"78,000",2022,Mercedes-Benz Clase A 35 AMG,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"78,000",2022,Mercedes-Benz Clase A 35 AMG,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"78,000",2022,Mercedes-Benz Clase A 35 AMG,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"78,000",2022,Mercedes-Benz Clase A 35 AMG,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"78,000",2022,Mercedes-Benz Clase A 35 AMG,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"24,500",2022,Nissan Versa Exclusive,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"16,900",2022,Suzuki Dzire,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"148,000",2022,Mercedes-Benz Clase E 53 AMG,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"20,900",2022,Nissan Versa Sense Especial,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"20,990",2022,Kia Rio LX,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"20,500",2022,Nissan Versa Sense,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"21,900",2022,Nissan Versa Sense Especial,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"85,900",2022,BYD HAN,2022 - Eléctrico - Nuevo - N/D Mi,carros/sedan
US,"24,500",2022,Fiat Cronos,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"24,500",2022,Fiat Cronos,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"24,500",2022,Fiat Cronos,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"20,990",2022,Kia Rio,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"24,900",2022,Toyota Yaris,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"24,900",2022,Toyota Yaris,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"33,900",2022,BYD E2,2022 - Eléctrico - Nuevo - N/D Km,carros/sedan
US,"33,900",2022,BYD E2,2022 - Eléctrico - Nuevo - N/D Km,carros/sedan
US,"16,900",2022,Suzuki Dzire,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"33,900",2022,BYD E2,2022 - Eléctrico - Nuevo - N/D Mi,carros/sedan
US,"24,500",2022,Fiat Cronos,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"33,900",2022,BYD E2,2022 - Eléctrico - Nuevo - N/D Km,carros/sedan
US,"33,900",2022,BYD E2,2022 - Eléctrico - Nuevo - N/D Mi,carros/sedan
US,"24,500",2022,Fiat Cronos,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"24,900",2022,Suzuki Swift Sport,2022 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"24,900",2022,Suzuki Swift Sport,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"33,900",2022,BYD E2,2022 - Eléctrico - Nuevo - N/D Km,carros/sedan
US,"24,900",2022,Suzuki Swift Sport,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"24,900",2022,Suzuki Swift Sport,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"16,900",2022,Suzuki Dzire,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"24,900",2022,Suzuki Swift Sport,2022 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"16,990",2021,Kia Soluto,2021 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"17,400",2021,Kia Soluto LX,2021 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"235,000",2021,Mercedes-Benz Clase S 500,2021 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"72,900",2021,Mercedes-Benz Clase A 35 AMG,2021 - Gasolina - Nuevo - N/D Km,carros/sedan
US,"229,000",2021,Mercedes-Benz Clase S 580 AMG Matic,2021 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"27,000",2021,Toyota Corolla LE,"2021 - Gasolina - Nuevo - 3,920 Mi",carros/sedan
US,"19,500",2021,Nissan Versa,2021 - Gasolina - Usado - N/D Km,carros/sedan
US,"91,900",2021,BMW i3,2021 - Eléctrico - Nuevo - N/D Km,carros/sedan
US,"20,990",2021,Kia Rio,2021 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"89,990",2021,Tesla Model Y Long Range,2021 - Eléctrico - Nuevo - 45 Km,carros/sedan
US,"70,990",2021,Tesla Model Y,2021 - Eléctrico - Nuevo - N/D Mi,carros/sedan
US,"198,200",2021,Mercedes-Benz Clase S 500L,2021 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"249,200",2021,Mercedes-Benz Clase S 500 AMG,2021 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"78,900",2021,Mercedes-Benz Clase A 35 AMG,2021 - Gasolina - Nuevo - N/D Mi,carros/sedan
US,"245,000",2021,Mercedes-Benz Clase S 500 AMG,2021 - Gasolina - Usado - N/D Mi,carros/sedan
US,"78,900",2021,Mercedes-Benz Clase A 35 AMG,2021 - Gasolina - Nuevo - N/D Mi,carros/sedan
